Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Paeonia officinalis;Leipzig;Pae_off_Lei;2021;55;118;NA;132;NA;153;NA;195;NA;230;239;NA;NA
Paeonia officinalis;Halle;Pae_off_Hal;2021;5;NA;138;145;99;145;7;216;236;174;250;99;307
Paeonia peregrina;Halle;Pae_per_Hal;2021;NA;NA;138;145;95;153;15;230;257;174;250;99;257
Paeonia peregrina;Leipzig;Pae_per_Lei;2021;55;NA;146;153;NA;160;14;NA;NA;230;239;NA;NA
Paeonia peregrina;Jena;Pae_per_Jen;2021;55;NA;131;131;100;131;1;216;237;167;244;90;266
Penstemon grandiflorus;Leipzig;Pen_gra_Lei;2021;83;118;NA;174;NA;188;NA;195;NA;222;55;NA;NA
Petasites hybridus;Jena;Pet_hyb_Jen;2021;NA;NA;76;83;60;111;35;NA;NA;230;293;95;314
Phlomis russeliana;Jena;Phl_rus_Jen;2021;NA;NA;167;174;80;195;28;13;356;13;34;50;356
Phlomis russeliana;Halle;Phl_rus_Hal;2021;34;NA;161;167;100;299;138;222;307;5;34;30;356
Plantago lanceolata;Halle;Pla_lan_Hal;2021;NA;NA;131;153;90;292;161;182;356;5;27;75;356
Plantago lanceolata;Leipzig;Pla_lan_Lei;2021;76;104;NA;146;NA;160;NA;153;NA;222;55;NA;NA
Plantago lanceolata;Jena;Pla_lan_Jen;2021;34;34;131;146;60;195;64;181;279;209;258;80;356
Platycodon grandiflorus;Halle;Pla_gra_Hal;2021;111;NA;182;194;75;222;40;250;299;230;292;95;299
Podophyllum peltatum;Leipzig;Pod_pel_Lei;2021;55;104;NA;146;NA;160;NA;NA;NA;167;174;NA;NA
Podophyllum peltatum;Halle;Pod_pel_Hal;2021;NA;NA;138;145;100;153;15;244;244;174;257;99;342
Polygonatum multiflorum;Jena;Pol_mul_Jen;2021;NA;NA;153;160;50;167;14;223;293;237;293;95;314
Polygonatum multiflorum;Halle;Pol_mul_Hal;2021;NA;NA;138;153;50;153;15;236;307;236;299;95;328
Polygonatum verticillatum;Leipzig;Pol_ver_Lei;2021;111;132;NA;153;NA;167;NA;167;NA;244;258;NA;NA
Primula denticulata;Leipzig;Pri_den_Lei;2021;69;118;89;104;NA;132;43;NA;NA;230;258;NA;NA
Primula denticulata;Jena;Pri_den_Jen;2021;20;NA;69;111;70;195;126;139;195;13;329;95;356
Primula denticulata;Halle;Pri_den_Hal;2021;NA;NA;97;97;100;131;34;145;187;153;335;99;335
Primula veris;Halle;Pri_ver_Hal;2021;NA;5;97;111;100;349;252;182;349;5;356;80;356
Primula veris;Jena;Pri_ver_Jen;2021;13;NA;104;118;90;146;42;188;279;174;209;80;356
Primula acaulis;Jena;Pri_aca_Jen;2021;20;NA;55;83;90;118;63;NA;NA;139;237;5;356
Primula acaulis;Halle;Pri_aca_Hal;2021;NA;5;5;76;100;125;120;NA;NA;NA;NA;NA;NA
Prunella grandiflora;Halle;Pru_gra_Hal;2021;62;NA;161;167;90;279;118;182;335;5;321;50;356
Prunella grandiflora;Jena;Pru_gra_Jen;2021;NA;NA;167;174;50;195;28;202;356;188;335;90;356
Prunella grandiflora;Leipzig;Pru_gra_Lei;2021;83;111;NA;174;NA;195;NA;195;NA;251;55;NA;NA
Puschkinia scilloides;Halle;Pus_sci_Hal;2021;62;69;76;97;99;111;35;153;153;131;145;90;153
Ranunculus acris;Halle;Ran_acr_Hal;2021;34;NA;125;138;90;222;97;174;201;5;328;80;335
Ranunculus acris;Jena;Ran_acr_Jen;2021;34;NA;146;167;70;266;120;174;244;13;342;60;356
Ranunculus bulbosus;Jena;Ran_bul_Jen;2021;118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ranunculus lanuginosus;Jena;Ran_lan_Jen;2021;20;NA;131;131;50;146;15;181;181;13;237;5;356
Rheum palmatum;Jena;Rhe_pal_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;174;266;90;293
Rheum rhabarbarum;Jena;Rhe_rha_Jen;2021;69;97;139;146;70;153;14;160;273;181;293;95;307
Roscoea purpurea;Leipzig;Ros_pur_Lei;2021;167;181;NA;NA;NA;230;NA;NA;NA;230;239;NA;NA
Rubus chamaemorus;Jena;Rub_cha_Jen;2021;118;126;NA;NA;NA;NA;NA;NA;NA;209;266;90;286
Rumex acetosa;Jena;Rum_ace_Jen;2021;13;69;139;146;70;167;28;160;195;13;342;90;356
Salvia amplexicaulis;Leipzig;Sal_amp_Lei;2021;62;104;NA;188;NA;202;NA;202;NA;239;258;NA;NA
Salvia nemorosa;Jena;Sal_nem_Jen;2021;NA;69;174;181;30;251;77;202;329;13;349;95;356
Salvia officinalis;Jena;Sal_off_Jen;2021;NA;NA;160;167;80;216;56;195;314;216;216;5;356
Salvia officinalis;Halle;Sal_off_Hal;2021;NA;NA;153;161;100;230;77;182;230;5;20;30;356
Salvia officinalis;Leipzig;Sal_off_Lei;2021;89;111;NA;160;NA;181;NA;181;NA;239;251;NA;NA
Salvia pratensis;Jena;Sal_pra_Jen;2021;20;NA;153;160;50;181;28;174;266;13;329;80;356
Sanguisorba minor;Jena;San_min_Jen;2021;13;69;131;153;80;153;22;NA;NA;258;293;5;329
Sanguisorba officinalis;Jena;San_off_Jen;2021;76;83;167;181;60;202;35;209;258;223;329;95;356
Saponaria officinalis;Halle;Sap_off_Hal;2021;5;NA;187;201;99;307;120;236;299;216;335;95;335
Saponaria officinalis;Leipzig;Sap_off_Lei;2021;83;118;NA;NA;NA;NA;NA;NA;NA;230;239;NA;NA
Saponaria officinalis;Jena;Sap_off_Jen;2021;NA;NA;181;202;60;279;98;230;300;216;314;95;356
Saxifraga paniculata;Jena;Sax_pan_Jen;2021;NA;NA;139;153;90;174;35;181;223;13;230;5;356
Saxifraga paniculata;Leipzig;Sax_pan_Lei;2021;69;104;139;153;NA;195;56;209;NA;230;55;NA;NA
Saxifraga paniculata;Halle;Sax_pan_Hal;2021;97;NA;145;153;100;167;22;182;244;5;201;5;356
Saxifraga rotundifolia;Halle;Sax_rot_Hal;2021;83;NA;131;145;100;174;43;182;250;153;167;5;335
Scabiosa ochroleuca;Leipzig;Sca_och_Lei;2021;89;132;NA;222;NA;286;NA;230;NA;244;251;NA;NA
Scopolia carniolica;Jena;Sco_car_Jen;2021;55;NA;97;111;10;118;21;NA;NA;126;216;95;237
Scopolia carniolica;Leipzig;Sco_car_Lei;2021;55;NA;NA;97;NA;146;NA;153;NA;174;181;NA;NA
Scopolia carniolica;Halle;Sco_car_Hal;2021;NA;NA;97;97;95;125;28;NA;NA;138;216;99;222
Securigera varia;Halle;Sec_var_Hal;2021;NA;NA;174;182;75;222;48;216;244;5;356;99;356
Securigera varia;Jena;Sec_var_Jen;2021;34;NA;167;216;60;244;77;223;300;251;335;90;356
Phedimus spurius;Halle;Phe_spu_Hal;2021;34;62;182;194;95;236;54;244;335;5;342;95;356
Phedimus stoloniferus;Leipzig;Phe_sto_Lei;2021;69;104;174;188;NA;222;48;209;NA;244;258;NA;NA
Sempervivum tectorum;Jena;Sem_tec_Jen;2021;153;NA;NA;NA;NA;NA;NA;NA;NA;13;13;80;356
Senecio nemorensis;Jena;Sen_nem_Jen;2021;20;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senecio nemorensis;Halle;Sen_nem_Hal;2021;NA;NA;216;222;100;265;49;244;299;236;257;5;307
Silene coronaria;Halle;Sil_cor_Hal;2021;55;5;167;182;99;236;69;222;321;194;307;99;356
Silene coronaria;Leipzig;Sil_cor_Lei;2021;62;118;167;174;NA;222;55;202;NA;230;55;NA;NA
Silene coronaria;Jena;Sil_cor_Jen;2021;NA;NA;174;181;40;237;63;202;329;188;356;90;356
Silene dioica;Halle;Sil_dio_Hal;2021;34;NA;131;161;80;287;156;174;299;5;265;90;356
Lychnis flos-cuculi;Halle;Lyc_flo_Hal;2021;NA;125;138;145;90;174;36;167;244;174;328;95;356
Silene nutans;Leipzig;Sil_nut_Lei;2021;83;104;NA;160;NA;174;NA;181;NA;230;55;NA;NA
Silene nutans;Jena;Sil_nut_Jen;2021;69;76;153;160;60;167;14;181;230;13;13;50;356
Heliosperma pusillum;Leipzig;Hel_pus_Lei;2021;76;118;NA;160;NA;174;NA;181;NA;251;286;NA;NA
Viscaria vulgaris;Halle;Vis_vul_Hal;2021;34;83;118;131;90;145;27;161;194;161;216;50;335
Silene vulgaris;Leipzig;Sil_vul_Lei;2021;89;118;NA;160;NA;195;NA;188;NA;239;251;NA;NA
Silene vulgaris;Halle;Sil_vul_Hal;2021;34;NA;161;167;50;299;138;230;299;182;299;90;307
Silene vulgaris;Jena;Sil_vul_Jen;2021;NA;NA;167;188;40;237;70;181;300;223;321;95;335
Silphium integrifolium;Halle;Sil_int_Hal;2021;NA;NA;194;230;99;250;56;279;292;250;292;80;314
Silphium integrifolium;Jena;Sil_int_Jen;2021;83;NA;188;202;40;286;98;13;356;13;273;5;329
Solanum dulcamara;Halle;Sol_dul_Hal;2021;NA;NA;161;161;50;236;75;222;349;174;292;95;342
Solidago canadensis;Jena;Sol_can_Jen;2021;NA;NA;230;244;90;266;36;286;329;251;314;95;356
Solidago virgaurea;Jena;Sol_vir_Jen;2021;34;NA;139;160;90;188;49;174;279;13;335;95;356
Solidago virgaurea;Halle;Sol_vir_Hal;2021;NA;NA;236;265;100;292;56;13;342;279;321;80;342
Tanacetum vulgare;Halle;Tan_vul_Hal;2021;NA;13;187;201;95;222;35;236;307;5;5;99;335
Tanacetum vulgare;Jena;Tan_vul_Jen;2021;13;NA;209;209;90;258;49;237;293;230;279;70;342
Tanacetum vulgare;Leipzig;Tan_vul_Lei;2021;62;104;NA;202;NA;222;NA;NA;NA;230;239;NA;NA
Thalictrum minus;Jena;Tha_min_Jen;2021;111;131;167;174;90;188;21;209;307;216;293;95;307
Thalictrum minus;Leipzig;Tha_min_Lei;2021;104;132;153;167;NA;174;21;NA;NA;244;251;NA;NA
Thymus praecox;Jena;Thy_pra_Jen;2021;20;13;188;188;70;258;70;13;356;13;273;5;356
Thymus pulegioides;Jena;Thy_pul_Jen;2021;20;20;188;195;50;251;63;13;356;13;76;90;356
Thymus serpyllum;Jena;Thy_ser_Jen;2021;NA;13;181;195;40;258;77;230;356;13;76;90;356
Thymus serpyllum;Halle;Thy_ser_Hal;2021;NA;NA;167;187;100;292;125;272;299;5;5;5;356
Tragopogon orientalis;Halle;Tra_ori_Hal;2021;NA;125;NA;NA;NA;NA;NA;NA;NA;174;335;90;335
Trapa natans;Halle;Tra_nat_Hal;2021;145;145;182;182;10;201;19;NA;NA;167;244;99;250
Trapa natans;Jena;Tra_nat_Jen;2021;NA;NA;188;188;2;202;14;NA;NA;223;244;80;266
Trapa natans;Leipzig;Tra_nat_Lei;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;244;251;NA;NA
Trillium sessile;Leipzig;Tri_ses_Lei;2021;69;89;NA;111;NA;132;NA;167;NA;188;230;NA;NA
Trillium sessile;Jena;Tri_ses_Jen;2021;NA;NA;111;126;100;146;35;223;230;167;216;95;244
Trollius europaeus;Leipzig;Tro_eur_Lei;2021;76;111;146;160;NA;174;28;181;NA;222;230;NA;NA
Trollius europaeus;Jena;Tro_eur_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trollius europaeus;Halle;Tro_eur_Hal;2021;NA;NA;145;153;100;153;8;NA;NA;174;257;99;342
Tulipa saxatilis;Halle;Tul_sax_Hal;2021;5;20;125;131;100;138;13;NA;NA;145;153;70;161
Tulipa sylvestris;Jena;Tul_syl_Jen;2021;NA;NA;104;111;70;118;14;NA;NA;118;131;90;146
Tulipa sylvestris;Halle;Tul_syl_Hal;2021;5;NA;111;111;99;125;14;182;201;138;161;99;167
Tussilago farfara;Halle;Tus_far_Hal;2021;NA;NA;83;111;95;125;42;118;138;5;307;99;314
Tussilago farfara;Leipzig;Tus_far_Lei;2021;76;104;NA;69;NA;125;NA;111;NA;222;244;NA;NA
Urtica dioica;Jena;Urt_dio_Jen;2021;69;NA;160;167;25;223;63;181;279;174;329;90;356
Urtica dioica;Leipzig;Urt_dio_Lei;2021;69;97;NA;160;NA;NA;NA;174;NA;230;244;NA;NA
Vaccinium myrtillus;Leipzig;Vac_myr_Lei;2021;104;146;NA;NA;NA;NA;NA;NA;NA;222;230;NA;NA
Vaccinium oxycoccos;Leipzig;Vac_oxy_Lei;2021;76;104;160;174;NA;202;42;209;NA;244;55;NA;NA
Vaccinium oxycoccos;Jena;Vac_oxy_Jen;2021;NA;NA;146;174;80;202;56;13;356;286;329;70;356
Vaccinium uliginosum;Halle;Vac_uli_Hal;2021;83;104;131;131;50;131;1;NA;NA;167;307;99;314
Vaccinium intermedium_x;Jena;Vac_int_Jen;2021;111;139;131;146;90;321;190;216;286;13;237;40;356
Veratrum album;Halle;Ver_alb_Hal;2021;76;97;174;182;90;222;48;NA;NA;167;272;99;279
Veratrum album;Jena;Ver_alb_Jen;2021;76;97;174;188;80;209;35;244;307;188;307;95;335
Veratrum nigrum;Jena;Ver_nig_Jen;2021;NA;NA;202;209;80;216;14;286;307;181;293;90;335
Veratrum nigrum;Halle;Ver_nig_Hal;2021;5;NA;201;216;95;230;29;279;299;161;299;90;307
Veratrum nigrum;Leipzig;Ver_nig_Lei;2021;55;104;202;209;NA;239;37;244;NA;244;272;NA;NA
Vinca minor;Leipzig;Vin_min_Lei;2021;76;111;89;118;NA;167;78;NA;NA;55;NA;NA;NA
Vinca minor;Halle;Vin_min_Hal;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;10;335
Vinca minor;Jena;Vin_min_Jen;2021;NA;NA;76;131;80;146;70;NA;NA;NA;NA;NA;NA
Vincetoxicum hirundinaria;Halle;Vin_hir_Hal;2021;NA;NA;153;161;100;279;126;287;299;236;299;75;307
Vincetoxicum hirundinaria;Leipzig;Vin_hir_Lei;2021;83;NA;139;153;NA;181;42;NA;NA;272;300;NA;NA
Vincetoxicum hirundinaria;Jena;Vin_hir_Jen;2021;NA;NA;146;160;60;244;98;251;329;230;307;95;329
Viola odorata;Halle;Vio_odo_Hal;2021;55;NA;83;97;75;104;21;NA;NA;5;27;75;356
