Plant_accepted_name,Plant_genus,Plant_family,Plant_order,Leipzig,Halle,Jena,Total_sampling_time
Campanula glomerata,Campanula,Campanulaceae,Asterales,0,0,3,3
Campanula lactiflora,Campanula,Campanulaceae,Asterales,0,0,6,6
Campanula persicifolia,Campanula,Campanulaceae,Asterales,0,0,3,3
Campanula pyramidalis,Campanula,Campanulaceae,Asterales,0,0,3,3
Campanula rapunculoides,Campanula,Campanulaceae,Asterales,0,0,6,6
Cardamine pratensis,Cardamine,Brassicaceae,Brassicales,0,0,21,21
Centaurea scabiosa,Centaurea,Asteraceae,Asterales,12,0,3,15
Centaurea stoebe,Centaurea,Asteraceae,Asterales,0,0,3,3
Centaurea subtilis,Centaurea,Asteraceae,Asterales,0,0,3,3
Cerastium arvense,Cerastium,Caryophyllaceae,Caryophyllales,0,0,6,6
Chamaecytisus austriacus,Chamaecytisus,Fabaceae,Fabales,0,0,3,3
Chamaecytisus hirsutus,Chamaecytisus,Fabaceae,Fabales,0,0,3,3
Cichorium intybus,Cichorium,Asteraceae,Asterales,3,0,3,6
Coronilla orientalis,Coronilla,Fabaceae,Fabales,0,0,3,3
Cytisophyllum sessilifolium,Cytisophyllum,Fabaceae,Fabales,0,0,9,9
Dasiphora fruticosa,Dasiphora,Rosaceae,Rosales,3,0,3,6
Desmodium canadense,Desmodium,Fabaceae,Fabales,0,0,3,3
Dianthus petraeus,Dianthus,Caryophyllaceae,Caryophyllales,0,0,3,3
Digitalis grandiflora,Digitalis,Plantaginaceae,Lamiales,0,0,3,3
Digitalis obscura,Digitalis,Plantaginaceae,Lamiales,0,0,3,3
Dracocephalum rupestre,Dracocephalum,Lamiaceae,Lamiales,0,0,3,3
Erigeron annuus,Erigeron,Asteraceae,Asterales,0,0,6,6
Euphorbia nicaeensis,Euphorbia,Euphorbiaceae,Malpighiales,0,0,3,3
Eutrochium maculatum,Eutrochium,Asteraceae,Asterales,0,0,3,3
Fagopyrum esculentum,Fagopyrum,Polygonaceae,Caryophyllales,0,0,3,3
Genista germanica,Genista,Fabaceae,Fabales,0,0,6,6
Geranium molle,Geranium,Geraniaceae,Geraniales,0,0,3,3
Globularia cordifolia,Globularia,Plantaginaceae,Lamiales,0,0,3,3
Helichrysum arenarium,Helichrysum,Asteraceae,Asterales,0,0,3,3
Heracleum sphondylium,Heracleum,Apiaceae,Apiales,0,0,3,3
Heuchera villosa,Heuchera,Saxifragaceae,Saxifragales,0,0,3,3
Hypericum fragile,Hypericum,Hypericaceae,Malpighiales,0,0,3,3
Hypericum hookerianum,Hypericum,Hypericaceae,Malpighiales,0,0,6,6
Inula salicina,Inula,Asteraceae,Asterales,0,0,3,3
Iris germanica,Iris,Iridaceae,Asparagales,0,0,3,3
Iris pseudacorus,Iris,Iridaceae,Asparagales,0,0,3,3
Jacobaea erucifolia,Jacobaea,Asteraceae,Asterales,0,0,3,3
Knautia arvensis,Knautia,Caprifoliaceae,Dipsacales,9,0,3,12
