Plant_family,Pollinator_guild,SES,mean_trait_matching,median_trait_matching,sd_trait_matching,n_trait_pairs,n_plant_taxa,n_pollinator_taxa,Association
Paeoniaceae,Syrphids,-1.0748940963851,8.013369501896801e-36,1.3621157353439874e-302,5.079787274990759e-35,60,3,20,Avoidance
Papaveraceae,Andrenidae,-0.3233678937489638,1.0151644465156882e-11,2.9522838032294753e-12,1.700841554847457e-11,15,1,15,Avoidance
Papaveraceae,Apidae,0.0310252082171102,6.773301931104826e-8,1.903415557976083e-10,2.8776381672452583e-7,30,1,30,Avoidance
Papaveraceae,Bombylids,-4.139010969070162,7.608577238613767e-10,3.5132327239793313e-10,7.610482145012795e-10,5,1,5,Avoidance
Papaveraceae,Coleoptera,-0.26855722895969225,7.438225792940274e-10,7.796823611590884e-13,2.061928047434034e-9,14,1,14,Avoidance
Papaveraceae,Colletidae,-0.9402009894445396,2.3869418196460393e-12,2.0436384402517957e-13,3.658170161466935e-12,10,1,10,Avoidance
Papaveraceae,Halictidae,9.19528742243447,2.3289296824214346e-12,2.925099085379743e-13,4.870956860581536e-12,23,1,23,Preference
Papaveraceae,Lepidoptera,3.9466862059797827,4.229219690395209e-12,4.229219690395209e-12,1.8195797910939686e-12,2,1,2,Avoidance
Papaveraceae,Megachilidae,-3.3422995534190387,1.3411841565818712e-10,2.4180520590060592e-11,3.134413879924495e-10,28,1,28,Avoidance
Papaveraceae,Non-bee Hymenoptera,-1.494219298106537,2.611790193818799e-11,1.192425537999003e-12,7.556489602537417e-11,22,1,22,Avoidance
Papaveraceae,Other Diptera,3.9066664036247403,2.3632605583512635e-11,3.6784847424743474e-13,9.426285468867207e-11,41,1,41,Avoidance
Papaveraceae,Syrphids,4.0907065409867815,4.0788335040587486e-10,5.5507750194204045e-12,1.0437405021159217e-9,20,1,20,Avoidance
Plantaginaceae,Andrenidae,-1.9291202674126755,1.124825982780011e-4,1.683374956893577e-5,1.9070987539371e-4,30,2,15,Avoidance
Plantaginaceae,Apidae,-13.40260605968162,0.003813274403409821,1.3146999718704219e-5,0.016778303950780435,60,2,30,Avoidance
Plantaginaceae,Bombylids,0.9351512798341408,0.001347069121248138,2.3468341094666023e-4,0.001841848361588533,10,2,5,Avoidance
Plantaginaceae,Coleoptera,0.39208067622420817,6.739289798876857e-4,4.225237391749229e-6,0.0021470639800709045,28,2,14,Avoidance
Plantaginaceae,Colletidae,-5.366541977451953,4.606690515869246e-5,6.826488804260179e-6,8.78852985340042e-5,20,2,10,Avoidance
Plantaginaceae,Halictidae,37.068725734054084,4.315768816349851e-5,7.180725671141759e-6,8.887547713994473e-5,46,2,23,Preference
Plantaginaceae,Lepidoptera,-7.574646780046754,8.76602362700284e-5,7.200378849431119e-5,1.044002800378229e-4,4,2,2,Avoidance
Plantaginaceae,Megachilidae,9.98879524514937,4.152826594587467e-4,2.1637296771285233e-5,8.092552737990008e-4,56,2,28,Preference
