Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,10.03.2023,69,Anemone hupenhensis,y,y,no,,no,no,,,
Halle,10.03.2023,69,Carex sylvatica,no,y,no,,no,y,80,,
Halle,10.03.2023,69,Anemone nemorosa,no,no,no,,no,no,,,
Halle,10.03.2023,69,Corydalis solida,no,no,no,,no,no,,,
Halle,10.03.2023,69,Hepatica transsilvanica,no,no,no,,no,y,60,,
Halle,10.03.2023,69,Arum italicum,no,y,no,,no,no,,,
Halle,10.03.2023,69,Hepatica nobilis,no,no,y,10,no,y,70,,three flowers
Halle,10.03.2023,69,Asarum europaeum,no,y,no,,no,y,30,,
Halle,10.03.2023,69,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,10.03.2023,69,Convallaria majalis,no,no,no,,no,no,,,
Halle,10.03.2023,69,Leucojum vernum,no,y,y,95,no,no,,,
Halle,10.03.2023,69,Crocus speciosus,no,y,no,,no,no,,,
Halle,10.03.2023,69,Fragaria vesca,no,y,no,,no,y,15,,flower buds
Halle,10.03.2023,69,Leucojum aestivum,no,y,no,,no,no,,,
Halle,10.03.2023,69,Galanthus ikariae,no,no,y,100,no,no,,,
Halle,10.03.2023,69,Colchicum autumnale,no,y,no,,no,no,,,
Halle,10.03.2023,69,Galanthus plicatus,no,no,y,100,no,no,,,
Halle,16.03.2023,75,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,16.03.2023,75,Lathyrus vernus,no,y,no,,no,no,,,
Halle,16.03.2023,75,Trollius europaeus,no,no,no,,no,no,,,
Halle,16.03.2023,75,Anemone hupenhensis,no,y,no,,no,no,,,
Halle,16.03.2023,75,Carex sylvatica,no,no,no,,no,y,100,,
Halle,16.03.2023,75,Anemone nemorosa,y,y,y,5,no,no,,,
Halle,16.03.2023,75,Corydalis solida,no,no,no,,no,no,,,
Halle,16.03.2023,75,Hepatica transsilvanica,no,no,y,5,no,y,55,,two flowers
Halle,16.03.2023,75,Arum italicum,no,y,no,,no,no,,,
Halle,16.03.2023,75,Hepatica nobilis,no,no,y,65,no,y,70,,20 flowers
Halle,16.03.2023,75,Asarum europaeum,no,y,no,,no,y,30,,
Halle,16.03.2023,75,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,16.03.2023,75,Convallaria majalis,no,no,no,,no,no,,,
Halle,16.03.2023,75,Leucojum vernum,no,no,y,95,no,no,,,
Halle,16.03.2023,75,Crocus speciosus,no,y,no,,no,no,,,
Halle,16.03.2023,75,Fragaria vesca,no,y,y,25,no,y,15,,
Halle,16.03.2023,75,Leucojum aestivum,no,y,no,,no,no,,,
Halle,16.03.2023,75,Galanthus ikariae,no,no,y,75,no,no,,,
Halle,16.03.2023,75,Colchicum autumnale,no,y,no,,no,no,,,
Halle,16.03.2023,75,Galanthus plicatus,no,no,y,100,no,no,,,
Halle,24.03.2023,83,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,24.03.2023,83,Lathyrus vernus,no,y,no,,no,no,,,
Halle,24.03.2023,83,Trollius europaeus,no,no,no,,no,no,,,
